Date,BTC,SOL
2022-08-07,23175.890625,40.6055908203125
2022-08-08,23809.486328125,42.17055130004883
2022-08-09,23164.318359375,40.372623443603516
2022-08-10,23947.642578125,42.365867614746094
2022-08-11,23957.529296875,42.8217887878418
2022-08-12,24402.818359375,45.33475875854492
2022-08-13,24424.068359375,46.485347747802734
2022-08-14,24319.333984375,44.916568756103516
2022-08-15,24136.97265625,43.82322311401367
2022-08-16,23883.291015625,43.15880584716797
2022-08-17,23335.998046875,40.403053283691406
2022-08-18,23212.73828125,39.545230865478516
2022-08-19,20877.552734375,35.8902587890625
2022-08-20,21166.060546875,35.26973342895508
2022-08-21,21534.12109375,36.533199310302734
2022-08-22,21398.908203125,35.47438049316406
2022-08-23,21528.087890625,35.6462516784668
2022-08-24,21395.01953125,34.957916259765625
2022-08-25,21600.904296875,35.316463470458984
2022-08-26,20260.01953125,31.726362228393555
2022-08-27,20041.73828125,31.54243278503418
2022-08-28,19616.814453125,30.39228630065918
2022-08-29,20297.994140625,32.46529769897461
2022-08-30,19796.80859375,31.41205596923828
2022-08-31,20049.763671875,31.47295570373535
2022-09-01,20127.140625,31.585678100585938
2022-09-02,19969.771484375,31.227930068969727
2022-09-03,19832.087890625,31.10948371887207
2022-09-04,19986.712890625,32.106956481933594
2022-09-05,19812.37109375,32.19464874267578
2022-09-06,18837.66796875,30.891742706298828
2022-09-07,19290.32421875,32.71091842651367
2022-09-08,19329.833984375,33.608646392822266
2022-09-09,21381.15234375,34.73976516723633
2022-09-10,21680.5390625,35.12672805786133
2022-09-11,21769.255859375,34.96596145629883
2022-09-12,22370.44921875,37.4241828918457
2022-09-13,20296.70703125,33.430816650390625
2022-09-14,20241.08984375,34.09157180786133
2022-09-15,19701.2109375,33.04768371582031
2022-09-16,19772.583984375,32.208858489990234
2022-09-17,20127.576171875,33.75077819824219
2022-09-18,19419.505859375,31.05985450744629
2022-09-19,19544.12890625,32.685302734375
2022-09-20,18890.7890625,31.433040618896484
2022-09-21,18547.400390625,30.826377868652344
2022-09-22,19413.55078125,32.408905029296875
2022-09-23,19297.638671875,33.6766357421875
2022-09-24,18937.01171875,33.462650299072266
2022-09-25,18802.09765625,32.33536148071289
2022-09-26,19222.671875,33.88055419921875
2022-09-27,19110.546875,32.75012969970703
2022-09-28,19426.720703125,33.23543930053711
2022-09-29,19573.05078125,33.952449798583984
2022-09-30,19431.7890625,33.21244430541992
2022-10-01,19312.095703125,32.46939468383789
2022-10-02,19044.107421875,32.05569839477539
2022-10-03,19623.580078125,32.967620849609375
2022-10-04,20336.84375,34.12247085571289
2022-10-05,20160.716796875,34.073883056640625
2022-10-06,19955.443359375,33.34281921386719
2022-10-07,19546.849609375,33.00146484375
2022-10-08,19416.568359375,32.57793426513672
2022-10-09,19446.42578125,32.913883209228516
2022-10-10,19141.484375,31.970834732055664
2022-10-11,19051.41796875,30.77686882019043
2022-10-12,19157.4453125,31.165485382080078
2022-10-13,19382.904296875,30.544519424438477
2022-10-14,19185.65625,30.007417678833008
2022-10-15,19067.634765625,29.575347900390625
2022-10-16,19268.09375,30.168840408325195
2022-10-17,19550.7578125,31.224876403808594
2022-10-18,19334.416015625,30.164331436157227
2022-10-19,19139.53515625,28.900798797607422
2022-10-20,19053.740234375,28.08509635925293
2022-10-21,19172.46875,28.10867691040039
2022-10-22,19208.189453125,28.01386260986328
2022-10-23,19567.0078125,29.270071029663086
2022-10-24,19345.572265625,28.3100643157959
2022-10-25,20095.857421875,30.93997573852539
2022-10-26,20770.44140625,31.28472137451172
2022-10-27,20285.8359375,30.630624771118164
2022-10-28,20595.3515625,32.111263275146484
2022-10-29,20818.4765625,32.85712814331055
2022-10-30,20635.603515625,32.9659309387207
2022-10-31,20495.7734375,32.61103820800781
2022-11-01,20485.2734375,32.2484245300293
2022-11-02,20159.50390625,30.788076400756836
2022-11-03,20209.98828125,30.84387969970703
2022-11-04,21147.23046875,33.780853271484375
2022-11-05,21282.69140625,36.76576232910156
2022-11-06,20926.486328125,32.6835823059082
2022-11-07,20602.81640625,29.60134506225586
2022-11-08,18541.271484375,24.152936935424805
2022-11-09,15880.7802734375,13.94085693359375
2022-11-10,17586.771484375,17.681407928466797
2022-11-11,17034.29296875,16.326745986938477
2022-11-12,16799.185546875,14.53900146484375
2022-11-13,16353.365234375,13.164528846740723
2022-11-14,16618.19921875,14.00135612487793
2022-11-15,16884.61328125,14.301294326782227
2022-11-16,16669.439453125,14.285508155822754
